Chip Run Info,F:\1363029192\ChipRun.bml,1363029192,96.96 (136x),GE 96x96 Express+Melt_v1,ROX,EvaGreen,11/7/25 19:02,1:43:02,X9-190034,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined,
Application Version,4.7.1,,,,,,,,,,,,,
Application Build,20200930.17,,,,,,,,,,,,,
Export Type,Table Results,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,
Baseline Correction Method,Linear (Derivative),,,,,,,,,,,,,
Ct Threshold Method,Auto (Global),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,,
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,,
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,,
S06-A24,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,STAT5,Test,18.17567463,1,Pass,0.023073164,86.80065781,999,1,,STAT5
S06-A25,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CCR3,Test,999,0,Flag,0.023073164,999,999,0,,CCR3
S06-A26,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CD80,Test,999,0,Flag,0.023073164,999,999,0,,CD80
S06-A27,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,GSK3B,Test,999,0,Flag,0.023073164,999,999,0,,GSK3B
S06-A28,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IL2,Test,999,0,Flag,0.023073164,999,999,0,,IL2
S06-A29,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IL5,Test,999,0,Flag,0.023073164,999,999,0,,IL5
S06-A30,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,PPARGC1A,Test,999,0,Flag,0.023073164,999,999,0,,PPARGC1A
S06-A31,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CCR1,Test,999,0,Flag,0.023073164,999,999,0,,CCR1
S06-A32,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,FYN,Test,999,0,Flag,0.023073164,999,999,0,,FYN
S06-A33,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IL18R1,Test,999,0,Flag,0.023073164,999,999,0,,IL18R1
S06-A34,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,JAK2,Test,24.20912542,1,Pass,0.023073164,80.18590917,999,1,,JAK2
S06-A35,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,OASL1,Test,999,0,Flag,0.023073164,999,999,0,,OASL1
