Chip Run Info,F:\1363029033\ChipRun.bml,1363029033,96.96 (136x),GE 96x96 Express+Melt_v1,ROX,EvaGreen,11/8/2025 9:55:10 AM,01:44:51,X9-190034,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.7.1
Application Build,20200930.1707
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S06-A29,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,FLT4,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A30,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IAPP,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A31,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IL1B,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A32,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,LCK,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A33,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,NLRP3,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A34,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,PTK2,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A35,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,TIMP1,Test,22.1513093383745,0,Flag,0.021487681662316,999,85.1458348042446,0
S06-A36,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,VCAM1,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A37,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,ANPEP,Test,19.976291349704,0,Flag,0.021487681662316,999,86.114672892428,0
S06-A38,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CD44,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A39,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,COL1A1,Test,23.1259757502705,1,Pass,0.021487681662316,83.8175771130118,65.6000153338115,0.828842798613547
S06-A40,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,EGFR,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A41,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,GCG,Test,13.8116427957148,0,Flag,0.021487681662316,999,79.6273490384504,0
S06-A42,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,ICAM1,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A43,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IL34,Test,999,0,Flag,0.021487681662316,999,999,0
